row_in_metadata,identifier,succeeded,message
121,swva_fchs_2016.001.031,True,Row 121: swva_fchs_2016.001.031 has been successfully imported. Succeeded: True
122,swva_fchs_2016.001.032,True,Row 122: swva_fchs_2016.001.032 has been successfully imported. Succeeded: True
123,swva_fchs_2016.001.033,True,Row 123: swva_fchs_2016.001.033 has been successfully imported. Succeeded: True
124,swva_fchs_2016.001.034,True,Row 124: swva_fchs_2016.001.034 has been successfully imported. Succeeded: True
125,swva_fchs_2016.001.035,True,Row 125: swva_fchs_2016.001.035 has been successfully imported. Succeeded: True
126,swva_fchs_2016.001.036,True,Row 126: swva_fchs_2016.001.036 has been successfully imported. Succeeded: True
127,swva_fchs_2016.001.037,True,Row 127: swva_fchs_2016.001.037 has been successfully imported. Succeeded: True
128,swva_fchs_2016.001.038,True,Row 128: swva_fchs_2016.001.038 has been successfully imported. Succeeded: True
129,swva_fchs_2016.001.039,True,Row 129: swva_fchs_2016.001.039 has been successfully imported. Succeeded: True
130,swva_fchs_2016.001.040,True,Row 130: swva_fchs_2016.001.040 has been successfully imported. Succeeded: True
131,swva_fchs_2016.001.041,True,Row 131: swva_fchs_2016.001.041 has been successfully imported. Succeeded: True
132,swva_fchs_2016.001.045,True,Row 132: swva_fchs_2016.001.045 has been successfully imported. Succeeded: True
133,swva_fchs_2016.001.046,True,Row 133: swva_fchs_2016.001.046 has been successfully imported. Succeeded: True
134,swva_fchs_2016.001.047,True,Row 134: swva_fchs_2016.001.047 has been successfully imported. Succeeded: True
135,swva_fchs_2016.001.048,True,Row 135: swva_fchs_2016.001.048 has been successfully imported. Succeeded: True
136,swva_fchs_2016.001.049,True,Row 136: swva_fchs_2016.001.049 has been successfully imported. Succeeded: True
137,swva_fchs_2016.002.001,True,Row 137: swva_fchs_2016.002.001 has been successfully imported. Succeeded: True
138,swva_fchs_2016.010.001,True,Row 138: swva_fchs_2016.010.001 has been successfully imported. Succeeded: True
139,swva_fchs_2016.013.001,True,Row 139: swva_fchs_2016.013.001 has been successfully imported. Succeeded: True
140,swva_fchs_2017.002.001,True,Row 140: swva_fchs_2017.002.001 has been successfully imported. Succeeded: True
141,swva_fchs_2017.014.001,True,Row 141: swva_fchs_2017.014.001 has been successfully imported. Succeeded: True
142,swva_fchs_2017.014.002,False,Error Row 142: manifest.json not found for Archive swva_fchs_2017.014.002 in s3 bucket. Succeeded: False
143,swva_fchs_2017.014.003,False,Error Row 143: manifest.json not found for Archive swva_fchs_2017.014.003 in s3 bucket. Succeeded: False
144,swva_fchs_2017.014.004,False,Error Row 144: manifest.json not found for Archive swva_fchs_2017.014.004 in s3 bucket. Succeeded: False
145,swva_fchs_2017.014.005,False,Error Row 145: manifest.json not found for Archive swva_fchs_2017.014.005 in s3 bucket. Succeeded: False
146,swva_fchs_2017.015.002,True,Row 146: swva_fchs_2017.015.002 has been successfully imported. Succeeded: True
147,swva_fchs_2017.015.003,True,Row 147: swva_fchs_2017.015.003 has been successfully imported. Succeeded: True
148,swva_fchs_2018.006.001,True,Row 148: swva_fchs_2018.006.001 has been successfully imported. Succeeded: True
149,swva_fchs_2018.008.006,True,Row 149: swva_fchs_2018.008.006 has been successfully imported. Succeeded: True
150,swva_fchs_2018.008.007,True,Row 150: swva_fchs_2018.008.007 has been successfully imported. Succeeded: True
151,swva_fchs_2018.009.001,True,Row 151: swva_fchs_2018.009.001 has been successfully imported. Succeeded: True
152,swva_fchs_2018.009.003,True,Row 152: swva_fchs_2018.009.003 has been successfully imported. Succeeded: True
153,swva_fchs_2018.017.001,True,Row 153: swva_fchs_2018.017.001 has been successfully imported. Succeeded: True
154,swva_fchs_2018.018.001,True,Row 154: swva_fchs_2018.018.001 has been successfully imported. Succeeded: True
155,swva_fchs_2019.004.002,True,Row 155: swva_fchs_2019.004.002 has been successfully imported. Succeeded: True
156,swva_fchs_2019.009.001,True,Row 156: swva_fchs_2019.009.001 has been successfully imported. Succeeded: True
157,swva_fchs_2019.011.001,True,Row 157: swva_fchs_2019.011.001 has been successfully imported. Succeeded: True
158,swva_fchs_2019.013.003,True,Row 158: swva_fchs_2019.013.003 has been successfully imported. Succeeded: True
159,swva_fchs_2019.013.004,True,Row 159: swva_fchs_2019.013.004 has been successfully imported. Succeeded: True
160,swva_fchs_2019.013.006,True,Row 160: swva_fchs_2019.013.006 has been successfully imported. Succeeded: True
161,swva_fchs_2019.013.007,True,Row 161: swva_fchs_2019.013.007 has been successfully imported. Succeeded: True
162,swva_fchs_2019.014.001,True,Row 162: swva_fchs_2019.014.001 has been successfully imported. Succeeded: True
163,swva_fchs_2019.019.002,True,Row 163: swva_fchs_2019.019.002 has been successfully imported. Succeeded: True
164,swva_fchs_2019.021.001,True,Row 164: swva_fchs_2019.021.001 has been successfully imported. Succeeded: True
165,swva_fchs_2019.021.002,True,Row 165: swva_fchs_2019.021.002 has been successfully imported. Succeeded: True
166,swva_fchs_2019.021.003,True,Row 166: swva_fchs_2019.021.003 has been successfully imported. Succeeded: True
167,swva_fchs_2019.021.004,True,Row 167: swva_fchs_2019.021.004 has been successfully imported. Succeeded: True
