identifier,title,description,language,creator,created,display_date,date,start_date,end_date,subject,type,medium,extent,spatial,collection,repository,rights,visibility
sfdst001001,Fire Rcords,Records book logging the activities of the Salem Fire Department in the year 1883.,en,,1883/07||1890/02/24,1883-07/1890-02-24,1883-07||1890-02-24,1883-07,1890-02-24,Fire departments|| Virginia,Text,logs (records),79 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst001002,Salem Fire Department Records 1906-1921,Record book of meetings held by the Salem Fire Department from 1906-1921. Includes 4 pages of clippings.,en,,1906/02/07||1921/03/28,1906-02-07/1921-03-28,1906-02-07||1921-03-28,1906-02-07,1921-03-28,Fire departments|| Virginia,Text,records (documents),146 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst001003,Salem Fire Department Records 1923-1932,"Record book logging the activities of the Salem Fire Department from 1923-1932. Pages 45-46, 49-50, 67-72, 75-78, 81-82, 93-94, 107-108, 113-114, 123-124 missing.",en,,1923/03/21||1932/02/25,1923-03-21/1932-02-25,1923-03-21||1932-02-25,1923-03-21,1932-02-25,Fire departments|| Virginia,Text,records (documents),108 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002001,Fire Department Hazmat Unit Truck,"Photograph of a hazmat unit truck, showing a truck with an awning attached to it as well as some of its equipment laid out neatly next to the truck.",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002002,Fire Department Tower One Fire Truck,"Mounted Fire Truck photo, showing a fire truck with stoppers on its wheels and anchors engaged at the sides while its ladder is extended.",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002003,"League of VA Municipalities Roanoke, VA Oct 22, 1930","Photograph of the members of the League of Virginia Municipalities, taken in Roanoke, VA, dated for Oct 22, 1930",en,,1930/10/22,1930-10-22,1930-10-22,1930-10-22,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002004,Fire at Moore Milling Co.,Photo of fire being fought by the Salem Fire Department at Moore Milling Co.,en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002005,"Headshot of Gilbert, 1975","Headshot photograph of a man named Gilbert, taken in 1975",en,,1975,1975,1975,1975,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002006,"Virginia Fireman, Vol. 14, No. 4, July-August, 1969","A copy of the Virginia Fireman Newspaper Volume 14 Number 4, dated from July - August 1969",en,,1969/07||1969/08,1969-07/1969-08,1969-07||1969-08,1969-07,1969-08,Fire departments|| Virginia,Text,newspapers,24 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002007,"Roanoke Times, Saturday, April 28, 1956","A section of the Roanoke Times Newspaper, dated for Saturday, April 28, 1956. Writing in pen on the first page shown reads ""Tootie of the army""(?)",en,,1956/04/28,1956-04-28,1956-04-28,1956-04-28,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002008,"Roanoke World News, Vol. 107, No. 128, Tuesday, May 29, 1956","A section of the Roanoke World News newspaper, Volume 107 Number 128, dated for Tuesday, May 29, 1956. This newspaper was published in the afternoon.",en,,1956/05/29,1956-05-29,1956-05-29,1956-05-29,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002009,"Roanoke Times, Vol. 139, No. 150, Tuesday, May 29, 1956","A section of the Roanoke Times newspaper, Volume 139 Number 150, dated for Tuesday, May 29, 1956. This newspaper was published in the morning.",en,,1956/05/29,1956-05-29,1956-05-29,1956-05-29,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002010,"Elmira Star-Gazette, Monday, October 5, 1959 ","Elmira Star-Gazette newspaper, American LaFrance 125th Anniversary Section, dated for Monday, October 5, 1959. This newspaper was published in the evening.",en,,1959/10/5,1959-10-5,1959-10-5,1959-10-5,,Fire departments|| Virginia,Text,newspapers,16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002011,"Times-Register, Vol. 106, No. 42, Thursday, October 22, 1959","The Times-Register newspaper, Volume 106 Number 42, dated for Thursday, October 22, 1959",en,,1959/10/22,1959-10-22,1959-10-22,1959-10-22,,Fire departments|| Virginia,Text,newspapers,12 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002012,"News of the Times, Friday, March 18, 1960","A page from the News of the Times newspaper, dated for Friday, March 18, 1960",en,,1960/03/18,1960-03-18,1960-03-18,1960-03-18,,Fire departments|| Virginia,Text,newspapers,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002013,"Roanoke Times, Sunday, February 23, 2003","Roanoke Times newspaper sections, dated for Sunday, February 23, 2003",en,,2003/02/23,2003-02-23,2003-02-23,2003-02-23,,Fire departments|| Virginia,Text,newspapers,5 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002014,"Roanoke Times, ""Salem Fire's Cause Electrical, Official Says""","Roanoke Times newspaper clipping concerning an electrical fire, undated",en,,,,,,,Fire departments|| Virginia,Text,newspaper clippings,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002015,"Roanoke Times, ""Salem Hardware Store Decimated by the City's Worst Fire in Years""","Roanoke Times clipping, concerning a hardware store fire which was reportedly the worst fire that happened in Salem in years, undated",en,,,,,,,Fire departments|| Virginia,Text,newspaper clippings,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002016,"Roanoke Times, Monday, February 24, 2003","Roanoke Times newspaper section largely concerning bad weather and floods, dated for Monday, February 24, 2003",en,,2003/02/24,2003-02-24,2003-02-24,2003-02-24,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002017,"Roanoke Times, Tuesday, February 25, 2003","Roanoke Times newspaper section, dated for Tuesday, February 25, 2003",en,,2003/02/25,2003-02-25,2003-02-25,2003-02-25,,Fire departments|| Virginia,Text,newspapers,4 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002018,"Salem Times-Register, Thursday, November 25, 2004","Salem Times Register newspaper pages 1-B and 3-B, dated for Thursday, November 25, 2004",en,,2004/11/25,2004-11-25,2004-11-25,2004-11-25,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002019,"Salem Times-Register Sports, Thursday, September 1, 2011","Salem Times Register Sports section, Thursday, September 1, 2011",en,,2011/09/01,2011-09-01,2011-09-01,2011-09-01,,Fire departments|| Virginia,Text,newspapers,8 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002020,"Salem Times-Register, Thursday, September 8, 2011","Salem Times Register, dated from Thursday, September 8, 2011",en,,2011/09/08,2011-09-08,2011-09-08,2011-09-08,,Fire departments|| Virginia,Text,newspapers,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002021,Scrapbook,"Scrapbook with leather cover bound with woven string, containing many pictures of fires both dated and undated, as well as various dated and undated newspaper clippings.",en,,,,,,,Fire departments|| Virginia,Collection,scrapbooks,30 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002022,Ledger Scrapbook,"Ledger Scrapbook, containing mostly newspaper clippings, as well as a wedding brochure and some photos",en,,,,,,,Fire departments|| Virginia,Collection,scrapbooks,355 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002023,Tootie Ballard Newsclippings,"Newsclippings about Lewis A. ""Tootie"" Ballard, one stating his retirement, one stating his death, and one stating his receiving of an award for his service.",en,,,,,,,Fire departments|| Virginia,Text,newspaper clippings,5 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002024,"Home Owners Urged by Chief to Check on Fire Hazards, Saturday, October 5, 1957","Newspaper clipping, titled: ""Home Owners Urged by Chief to Check on Fire Hazards,"" Saturday, October 5, 1957",en,,1957/10/05,1957-10-05,1957-10-05,1957-10-05,,Fire departments|| Virginia,Text,newspaper clippings,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002025,"Salem Times-Register, Thursday, February 5, 1981","Salem Times-Register newspaper clipping, dated for Thursday, February 5, 1981, showing Salem Fire Department fighting a fire at the Salem Times-Register newspaper building.",en,,1981/02/05,1981-02-05,1981-02-05,1981-02-05,,Fire departments|| Virginia,Text,newspaper clippings,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002026,The Dutch Detective,"""The Dutch Detective"" Playbill, a play being put on by Salem High School for the benefit of the Salem Fire Department, undated",en,,,,,,,Fire departments|| Virginia,Text,playbills,3 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002027,"Record Book, April 7th, 1969","Record book, April 7, 1969, containing miscellaneous notes and location layouts.",en,,1969/04/07,1969-04-07,1969-04-07,1969-04-07,,Fire departments|| Virginia,Text,records (documents),16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002028,"Fechheimer Quality Uniforms Order Book, 1970-1972","Fechheimer Quality Uniforms Order Book, 1970-1972, containing a template for uniform ordering along with some filled out forms.",en,,1970||1972,1970/1972,1970||1972,1970,1972,Fire departments|| Virginia,Text,logs (records),9 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst002029,Balance Book,"Balance Book, for keeping track of finances from April 23, 1942 - July 1, 1955",en,,1942/04/23||1955/07/01,1942-04-23/1955-07-01,1942-04-23||1955-07-01,1942-04-23,1955-07-01,Fire departments|| Virginia,Text,logs (records),58 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst003001,"In Memory of Robert A. ""Bob"" McNeal","Plaque in Memory of Robert A. ""Bob"" McNeal, which reads as follows: ""In Memory of Robert A. 'Bob' McNeal, who served as chief of the Salem Fire Department, July 1, 1960, March 20, 1969""",en,,,,,,,Fire departments|| Virginia,Still Image,plaque (flat object),1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst003002,"In Memory of Louis A. ""Tootie"" Ballard","Plaque in Memory of Louis A. ""Tootie"" Ballard, which reads as follows: ""In Memory of Louis A. 'Tootie' Ballard, who served with the Salem Fire Department as a Fireman, Feb, 1, 1909, June 30, 1932, as Chief, July 1, 1932, June 30,1960, 1889-1966""",en,,,,,,,Fire departments|| Virginia,Still Image,plaque (flat object),1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst003003,International Fire Chiefs Association,"International Fire Chiefs Association Plaque, which reads as follows: ""Salem Fire & EMS, Thank you for your support for the SEAFC 75th Annual Leadership Conference, June 12-14, 2003, Roanoke, VA""",en,,,,,,,Fire departments|| Virginia,Still Image,plaque (flat object),2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst004001,Leatherbound Scrapbook,"Scrapbook with leather cover bound with woven string, containing various newspaper clippings, notes, and photos.",en,,,,,,,Fire departments|| Virginia,Collection,scrapbooks,123 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst004002,Photograph Album,"Photograph Album, containing newspaper clippings and photos",en,,,,,,,Fire departments|| Virginia,Collection,scrapbooks,62 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst005001,Golden Fire Department Badge,Gold fire department badge,en,,,,,,,Fire departments|| Virginia,Still Image,badges,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006001,Woman in a Bathing Suit on Bench,"Woman in a bathing suit posing on a bench, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006002,Truck Loaded with Boxes,"Truck loaded with boxes in the winter, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006003,Display of Salem Fire Department Memorabilia,"Display of pictures, hats, badges, a gas mask, and other Salem Fire Department memorabilia, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006004,"Two Men in Front of Fire Truck, 1974","Two men in front of fire truck, 1974, the old man in the photo is Fire Department Chief Ron Hartman",en,,1974,1974,1974,1974,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006005,Fireman with Construction Equipment,"Film negative strip with a fireman and construction equipment, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006006,"Salem Farm Supply Corp, July, 1956","Salem Farm Supply Corp photograph showing men climbing on a fire truck ladder out of a second floor window, dated for July 1956",en,,1956/07,1956-07,1956-07,1956-07,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006007,"Corky Old, 1971","""Corky Old"" photograph, 1971, showing a child sitting at a desk.",en,,1971,1971,1971,1971,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006008,Man and Woman Smiling Outside,"Man and woman smiling while standing outdoors in front of a house, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006009,Omnibus College Vehicle,"The Omnibus College vehicle, with a woman sitting in the passenger seat with her arm out the window and her looking at the camera, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006010,Woman in Dress with Child,"Woman in dress with short fur coat and crying child, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006011,Child Wearing a Coat,"Child wearing a coat standing next to two adults, whose upper bodies are out of frame, with one holding a coat and the other holding a cigarette or cigar, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006012,Two Men on a Bridge,"Two men standing next to each other, posing on a bridge, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006013,"Ann Lee and Tootie, August 1941","Ann Lee and Tootie, taken in Staunton, Virginia in August, 1941",en,,1941/08,1941-08,1941-08,1941-08,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006014,"Double Exposed Photograph, December 7th, 1941","Doubly exposed photograph, with one laid on top of another, dated for December 7, 1941. The portrait photograph shows a man and a woman, with the man's arm around the woman, and the landscape photograph shows two women posing with a man near a car.",en,,1941/12/07,1941-12-07,1941-12-07,1941-12-07,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006015,"Man and Child Posing with Car, July 4th, 1935","Man and child posing with a car, July 4, 1935",en,,1935/07/04,1935-07-04,1935-07-04,1935-07-04,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006016,"Man, Women, and Child","Man, two women, and child taking a photograph outdoors, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006017,Two Boys at King Cola Stand,"Two boys standing in front of a King Cola stand with several bottles on display, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006018,Man and Woman in Bathing Suits,"Man and woman in bathing costumes on a dock next to a boat in front of a house, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006019,American Flag,"American Flag, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006020,Two Girls Holding Snakes,"Two girls holding snakes, one girl has it wrapped around her neck and the other is presenting it to the camera, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006021,Man and Woman Smiling Sitting Indoors,"Man and woman smiling while sitting in a room next to a figurine display, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006022,"Damaged Bricks, November 1979","Two photographs of bricks damaged by a fire, dated for November 1979",en,,1979/11,1979-11,1979-11,1979-11,,Fire departments|| Virginia,Still Image,photographs,4 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006023,"Man Wearing a Wig, Smoking a Pipe, and Talking on the Phone","Man wearing a wig, smoking a pipe, and talking on the phone, with ""Corky Old"" written on the back of the photograph, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006024,"Man Holding Hands with Two Young Boys, July 1959","Man holding hands with two young boys outdoors near a road, dated for July 1959",en,,1959/07,1959-07,1959-07,1959-07,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006025,"Car Interior, 1956","Car interior, 1956. Back of photo reads Jan 28, 1956",en,,1956,1956,1956,1956,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006026,Fire Damage Polaroids,"Polaroids of fire damage, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,16 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006027,Crowd of Children,"Crowd of children all standing in a line outside in the first two photographs, and two girls going down a slide while a man and woman watch in the third photograph, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,3 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006028,Black and White Christmas Photographs,"Black and white photographs related to Christmas, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006029,Film Negative Strips of Fire Damage,"Negative film strips showing fire damage, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,14 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006030,Dog Outside,"Dog staring at the camera with its tongue out outside, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006031,Men Working on a Railroad,"Men working on a rail road with the help of a vehicle, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006032,Building with Fire Damage,"Fire damage near a staircase leading to the basement of the house that was on fire, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006033,Fire Department Pickup Truck and Bell,"Red fire department pickup truck with a bell on a trailer, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006034,Cupps at Christmas,"Cupps at Christmas, undated, the man in the red sweater in the second photo is Courtney ""Corky"" Old, the little boy in the photo is Michael Cupp, a boy who had Leukemia, the man in the front row on the left was Tom Roseberry, the man on the front row on the right is Chat Williams, and the man in the Santa costume is Pat, with no last name given.",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,6 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006035,Man in a Fire Fighter Uniform,"Man in a fire fighter's uniform, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006036,Fire Damage Photographs,"Fire damage, the first image showing the damage near some cement bags and other containers, and the other showing the damage near some ducts, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006037,"Firemen Eating, 1974","Firemen eating around a table in the fire department station, dated for 1974",en,,1974,1974,1974,1974,,Fire departments|| Virginia,Still Image,photographs,4 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006038,YMCA Manual Training School Parade,"YMCA Manual Training School Parade, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,1 page,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
sfdst006039,Two Men Working on a Car,"Two men working on a car while smiling at the camera, undated",en,,,,,,,Fire departments|| Virginia,Still Image,photographs,2 pages,"Salem, Virginia, United States",Salem Fire & EMS Department,Salem (Va.). Fire Department,http://rightsstatements.org/vocab/InC-EDU/1.0/,TRUE
